seqID;strain_name;accession;sampling_date;lab_submission_date;admin0;admin1;admin2;administrative_unit;village;geographical_precision_1;geographical_precision_2;longitude;latitude;host_species;VAR_assemblyQ;VAR_type;assembly_comment;other_comment;outbreak
Lith_17;Lithuania/2019/09074GSV1;;12/07/2019;;Lithuania;Kazl_ R_da;;;;1;NVFRAI;23.532001;54.708493;domestic pig;;;;;S
Lith_18;Lithuania/2019/09074GSV11;;12/07/2019;;Lithuania;Kazl_ R_da;;;;1;NVFRAI;23.532001;54.708493;domestic pig;;;;;S
Lith_20;Lithuania/2019/09335GS2;;19/07/2019;;Lithuania;Marijampol_;;;;1;NVFRAI;23.424932;54.689355;domestic pig;;;;;S
Lith_23;Lithuania/2019/09790P1G1;;05/08/2019;;Lithuania;Kazl_ R_da;;;;1;NVFRAI;23.453537;54.710572;domestic pig;;;;;S
Lith_27;Lithuania/2018/00696S3;;16/01/2018;;Lithuania;Kupi_kis;;;;1;NVFRAI;24.740829;55.873634;wild boar;;;;;V
Lith_3;Lithuania/2019/00598P1G1;;09/01/2019;;Lithuania;_akiai;;;;1;NVFRAI;23.245751;55.002248;wild boar;;;;;S
Lith_5;Lithuania/2019/01881G2S1;;28/01/2019;;Lithuania;Marijampol_;;;;1;NVFRAI;23.454693;54.460267;wild boar;;;;;T
OP605386;Italy/2022/RM/20355;OP605386;2022;;Italy;Rome;;;;4;;12.48626943;41.90398665;wild boar;;;;;C
ON108571;Italy/2022/AL/2802;ON108571;01/01/2022;;Italy;Piedmont;Alessandria;;;4;;8.666099183;44.84201919;wild boar;;;;;D
OX376256;2020ASP01832;OX376256;20/09/2020;;Germany;Brandenburg;Spree-Neiße;Sembten;;2;;14.63190351;52.0187934;wild boar;;;;;E
OX376261;2020ASP02103;OX376261;07/10/2020;;Germany;Brandenburg;Oder-Spree;Neuzelle/Neißemünde;;2;;14.614486;52.0599772;wild boar;;;;;E
OX376250;2020ASP02805;OX376250;16/11/2020;;Germany;Saxony;Görlitz;Gemeinde Krauschwitz;;2;;14.83012222;51.47058021;wild boar;;;;;E
OX376258;2020ASP02894;OX376258;26/11/2020;;Germany;Saxony;Görlitz;Gemeinde Krauschwitz;;2;;14.83012222;51.47058021;wild boar;;;;;E
OX376254;2021ASP00484;OX376254;21/01/2021;;Germany;Saxony;Görlitz;Rothenburg-Neusorge;;2;;14.92539674;51.3855185;wild boar;;;;;E
OX376252;2021ASP00703;OX376252;09/02/2021;;Germany;Brandenburg;Oder-Spree;Siehdichum;;2;;14.50816626;52.19473501;wild boar;;;;;E
OX376255;2021ASP00902;OX376255;18/02/2021;;Germany;Saxony;Görlitz;Rothenburg (Ortsteil Dunkelhäuser);;2;;14.9299201;51.34198859;wild boar;;;;;E
OX376262;2021ASP00921;OX376262;22/02/2021;;Germany;Brandenburg;Märkisch-Oderland;Bleyen;;2;;14.57498546;52.6074962;wild boar;;;;;E
OX376260;2021ASP01917;OX376260;19/04/2021;;Germany;Saxony;Görlitz;Kreba-Neudorf;;2;;14.69013131;51.34650908;wild boar;;;;;E
OX376251;2021ASP01919;OX376251;19/04/2021;;Germany;Saxony;Görlitz;Niesky;;2;;14.79379367;51.31736613;wild boar;;;;;E
OX376253;2021ASP01957;OX376253;20/04/2021;;Germany;Brandenburg;Märkisch-Oderland;Zechin;;2;;14.4607333;52.61539192;wild boar;;;;;E
OX376257;2021ASP02148;OX376257;29/04/2021;;Germany;Brandenburg;Oder-Spree;Oelsen. Friedland;;2;;14.38291512;52.13160832;wild boar;;;;;E
OX376263;2021ASP02207;OX376263;06/05/2021;;Germany;Brandenburg;Dahme-Spreewald;Ullersdorf;;2;;14.37352489;52.04517756;wild boar;;;;;E
OX376259;2021ASP02665;OX376259;11/05/2021;;Germany;Brandenburg;Frankfurt/Oder;Kliestow;;2;;14.52181966;52.37225925;wild boar;;;;;E
OX376268;2021ASP03144;OX376268;29/06/2021;;Germany;Brandenburg;Oder-Spree;Wiesenau;;2;;14.61508803;52.2419685;wild boar;;;;;E
OX376267;2021ASP03251;OX376267;12/07/2021;;Germany;Brandenburg;Oder-Spree;Müllrose/ Dubrow-Falkenmoor;;2;;14.38242793;52.27361167;wild boar;;;;;E
OX376265;2021ASP03384;OX376265;16/07/2021;;Germany;Brandenburg;Märkisch-Oderland;Letchin. Farm 1;;2;;14.3644039;52.66760022;domestic pig;;;;;E
OX376264;2021ASP03380;OX376264;16/07/2021;;Germany;Brandenburg;Märkisch-Oderland;Letchin. Farm 2;;2;;14.3644039;52.66760022;domestic pig;;;;;E
OX376266;2021ASP03643;OX376266;26/07/2021;;Germany;Brandenburg;Frankfurt/Oder;Nuhnen;;3;;14.48893229;52.32886304;wild boar;;;;;E
OX376271;2021ASP03658;OX376271;27/07/2021;;Germany;Brandenburg;Barnim;Lunow;;2;;14.11145721;52.91887757;wild boar;;;;;E
OX376273;2021ASP03711;OX376273;28/07/2021;;Germany;Brandenburg;Oder-Spree;Jacobsdorf Sieversdorf;;2;;14.38403406;52.36857173;wild boar;;;;;E
OX376272;2021ASP03740;OX376272;29/07/2021;;Germany;Saxony;Görlitz;Groß Düben Halbendorf;;2;;14.57967333;51.54434224;wild boar;;;;;E
Ukraine_10;;;16/08/2017;;Ukraine;Rivne oblast;Dubrovytsya raion;Ostrivtsi;;2;GoogleMaps;26.49175758;51.59409347;domestic pig;;;;;Y
Ukraine_12;;;31/10/2017;;Ukraine;Rivne oblast;Rivne raion;Kustyn;;2;GoogleMaps;26.3094375;50.70405237;;;;;;Y
Ukraine_20;;;16/07/2017;;Ukraine;Chernigiv oblast;Borzna raion;Ombysh;;2;GoogleMaps;32.31594454;51.05360293;domestic pig;;;;;Y
Ukraine_23;;;05/03/2018;;Ukraine;Chernigiv oblast;Kulykivka raion;Grabivka;;2;GoogleMaps (Kulykivka raion);31.66895783;51.35606437;;;;;;Y
Ukraine_24;;;;;Ukraine;Sumy oblast;Shostka raion;Tynanivka;;2;GoogleMaps;33.12728118;51.77073903;;;;;;Y
