node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
69,70,Georgia,Karbardino-Balkaria,5.43664049898898,5.43664049898898,0,2002.18311580459,2007.61975630358
69,71,Georgia,Georgia,5.40160898962409,5.40160898962409,0,2002.18311580459,2007.58472479422
71,25,Georgia,Georgia,0.139864159480323,5.54147314910441,5.40160898962409,2007.58472479422,2007.7245889537
71,72,Georgia,Karbardino-Balkaria,2.81814848901909,8.21975747864318,5.40160898962409,2007.58472479422,2010.40287328324
70,62,Karbardino-Balkaria,Lithuania,6.43503821696431,11.8716787159533,5.43664049898898,2007.61975630358,2014.05479452055
72,73,Karbardino-Balkaria,Poland,3.8884878950109,12.1082453736541,8.21975747864318,2010.40287328324,2014.29136117825
73,74,Poland,Poland,0.13197088574783,12.2402162594019,12.1082453736541,2014.29136117825,2014.423332064
70,23,Karbardino-Balkaria,Poland,7.46517520326547,12.9018157022544,5.43664049898898,2007.61975630358,2015.08493150685
74,75,Poland,Poland,0.850511566781295,13.0907278261832,12.2402162594019,2014.423332064,2015.27384363078
73,124,Poland,Poland,1.05597143794476,13.1642168115988,12.1082453736541,2014.29136117825,2015.34733261619
75,76,Poland,Poland,0.228128500256771,13.31885632644,13.0907278261832,2015.27384363078,2015.50197213103
124,125,Poland,Ukraine,0.265076503550623,13.4292933151495,13.1642168115988,2015.34733261619,2015.61240911974
76,77,Poland,Poland,0.171043093460012,13.4898994199,13.31885632644,2015.50197213103,2015.67301522449
75,111,Poland,Poland,0.407311211209396,13.4980390373926,13.0907278261832,2015.27384363078,2015.68115484199
111,112,Poland,Poland,0.00889473840193755,13.5069337757945,13.4980390373926,2015.68115484199,2015.69004958039
77,78,Poland,Poland,0.0723091799232698,13.5622085998233,13.4898994199,2015.67301522449,2015.74532440442
78,82,Poland,Poland,0.200493175881508,13.7627017757048,13.5622085998233,2015.74532440442,2015.9458175803
125,126,Ukraine,Ukraine,0.436772608816824,13.8660659239663,13.4292933151495,2015.61240911974,2016.04918172856
112,113,Poland,Kaliningrad,0.395110130992713,13.9020439067873,13.5069337757945,2015.69004958039,2016.08515971138
124,134,Poland,Lithuania,0.740826548091016,13.9050433596899,13.1642168115988,2015.34733261619,2016.08815916428
78,79,Poland,Poland,0.375281872866481,13.9374904726897,13.5622085998233,2015.74532440442,2016.12060627728
79,80,Poland,Poland,0.0854126520986771,14.0229031247884,13.9374904726897,2016.12060627728,2016.20601892938
76,84,Poland,Poland,0.727956961441262,14.0468132878812,13.31885632644,2015.50197213103,2016.22992909248
84,85,Poland,Poland,0.0655451462373762,14.1123584341186,14.0468132878812,2016.22992909248,2016.29547423871
126,127,Ukraine,Ukraine,0.377589646257707,14.243655570224,13.8660659239663,2016.04918172856,2016.42677137482
113,114,Kaliningrad,Kaliningrad,0.343276960967739,14.245320867755,13.9020439067873,2016.08515971138,2016.42843667235
82,83,Poland,Poland,0.492854144146841,14.2555559198516,13.7627017757048,2015.9458175803,2016.43867172445
125,132,Ukraine,Hungary,0.948760918968572,14.378054234118,13.4292933151495,2015.61240911974,2016.56117003871
79,81,Poland,Poland,0.471741318069152,14.4092317907589,13.9374904726897,2016.12060627728,2016.59234759535
114,115,Kaliningrad,Kaliningrad,0.171914918027523,14.4172357857825,14.245320867755,2016.42843667235,2016.60035159038
81,63,Poland,Poland,0.0114775412582659,14.4207093320172,14.4092317907589,2016.59234759535,2016.60382513661
81,59,Poland,Poland,0.0142097816956195,14.4234415724545,14.4092317907589,2016.59234759535,2016.60655737705
85,87,Poland,Poland,0.327295649215813,14.4396540833344,14.1123584341186,2016.29547423871,2016.62276988793
85,86,Poland,Poland,0.346962162580968,14.4593205966996,14.1123584341186,2016.29547423871,2016.64243640129
112,119,Poland,Poland,0.953075028075686,14.4600088038702,13.5069337757945,2015.69004958039,2016.64312460847
80,49,Poland,Poland,0.537150469523994,14.5600535943124,14.0229031247884,2016.20601892938,2016.74316939891
115,116,Kaliningrad,Kaliningrad,0.204617524303026,14.6218533100855,14.4172357857825,2016.60035159038,2016.80496911468
126,128,Ukraine,Ukraine,0.879213912258163,14.7452798362244,13.8660659239663,2016.04918172856,2016.92839564082
113,118,Kaliningrad,Kaliningrad,0.935486307859112,14.8375302146464,13.9020439067873,2016.08515971138,2017.02064601924
77,61,Poland,Poland,1.40643683029974,14.8963362501997,13.4898994199,2015.67301522449,2017.07945205479
82,37,Poland,Poland,1.1665111868237,14.9292129625285,13.7627017757048,2015.9458175803,2017.11232876712
83,36,Poland,Poland,0.712013207060549,14.9675691269122,14.2555559198516,2016.43867172445,2017.15068493151
87,88,Poland,Poland,0.747335689308967,15.1869897726434,14.4396540833344,2016.62276988793,2017.37010557724
134,135,Lithuania,Lithuania,1.3562497880092,15.2612931476991,13.9050433596899,2016.08815916428,2017.44440895229
88,8,Poland,Poland,0.104592102731172,15.2915818753746,15.1869897726434,2017.37010557724,2017.47469767997
128,56,Ukraine,Ukraine,0.608590660550556,15.353870496775,14.7452798362244,2016.92839564082,2017.53698630137
74,7,Poland,Czechia,3.12118212230676,15.3613983817087,12.2402162594019,2014.423332064,2017.5445141863
