node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
69,11,Georgia,Karbardino-Balkaria,12.8650627153583,12.8650627153583,0,2006.36507427094,2019.2301369863
69,70,Georgia,Georgia,0.920550421069048,0.920550421069048,0,2006.36507427094,2007.28562469201
70,71,Georgia,Georgia,0.0491124086148425,0.969662829683891,0.920550421069048,2007.28562469201,2007.33473710063
70,25,Georgia,Georgia,0.646669131923806,1.56721955299285,0.920550421069048,2007.28562469201,2007.93229382394
71,135,Georgia,Poland,5.71505953797173,6.68472236765562,0.969662829683891,2007.33473710063,2013.0497966386
71,72,Georgia,Poland,5.98800357243399,6.95766640211788,0.969662829683891,2007.33473710063,2013.32274067306
72,73,Poland,Poland,0.572095051007157,7.52976145312503,6.95766640211788,2013.32274067306,2013.89483572407
135,62,Poland,Lithuania,1.00499788194935,7.68972024960496,6.68472236765562,2013.0497966386,2014.05479452055
73,106,Poland,Poland,0.205629892793032,7.73539134591807,7.52976145312503,2013.89483572407,2014.10046561686
73,74,Poland,Poland,0.238930796878245,7.76869225000328,7.52976145312503,2013.89483572407,2014.13376652095
72,122,Poland,Lithuania,1.27530521103767,8.23297161315555,6.95766640211788,2013.32274067306,2014.5980458841
122,123,Lithuania,Lithuania,0.0107117795715057,8.24368339272706,8.23297161315555,2014.5980458841,2014.60875766367
74,99,Poland,Poland,0.48604695544117,8.25473920544445,7.76869225000328,2014.13376652095,2014.61981347639
106,107,Poland,Poland,0.567743548597422,8.30313489451549,7.73539134591807,2014.10046561686,2014.66820916546
99,103,Poland,Poland,0.0618457880007224,8.31658499344517,8.25473920544445,2014.61981347639,2014.68165926439
103,104,Poland,Poland,0.00919364051106708,8.32577863395624,8.31658499344517,2014.68165926439,2014.6908529049
135,23,Poland,Poland,2.0351348682505,8.71985723590612,6.68472236765562,2013.0497966386,2015.08493150685
107,108,Poland,Kaliningrad,0.487788336771151,8.79092323128664,8.30313489451549,2014.66820916546,2015.15599750223
108,109,Kaliningrad,Kaliningrad,0.0201990225077644,8.8111222537944,8.79092323128664,2015.15599750223,2015.17619652474
123,124,Lithuania,Lithuania,0.751990308651949,8.995673701379,8.24368339272706,2014.60875766367,2015.36074797232
122,132,Lithuania,Ukraine,0.797084060903924,9.03005567405947,8.23297161315555,2014.5980458841,2015.395129945
106,120,Poland,Lithuania,1.33075188973923,9.06614323565729,7.73539134591807,2014.10046561686,2015.4312175066
132,133,Ukraine,Ukraine,0.0378208663164568,9.06787654037593,9.03005567405947,2015.395129945,2015.43295081132
123,128,Lithuania,Moldova,0.825057331958694,9.06874072468575,8.24368339272706,2014.60875766367,2015.43381499563
99,100,Poland,Poland,0.833314482536508,9.08805368798096,8.25473920544445,2014.61981347639,2015.45312795892
108,115,Kaliningrad,Kaliningrad,0.313585962475863,9.1045091937625,8.79092323128664,2015.15599750223,2015.46958346471
74,75,Poland,Poland,1.49093891967118,9.25963116967446,7.76869225000328,2014.13376652095,2015.62470544062
124,125,Lithuania,Hungary,0.630288279923365,9.62596198130237,8.995673701379,2015.36074797232,2015.99103625225
109,110,Kaliningrad,Kaliningrad,1.0534289188319,9.8645511726263,8.8111222537944,2015.17619652474,2016.22962544357
100,101,Poland,Poland,0.779263819262201,9.86731750724316,9.08805368798096,2015.45312795892,2016.23239177819
101,102,Poland,Poland,0.155735499640332,10.0230530068835,9.86731750724316,2016.23239177819,2016.38812727783
133,134,Ukraine,Ukraine,1.04462640801066,10.1125029483866,9.06787654037593,2015.43295081132,2016.47757721933
