node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
69,70,Georgia,Georgia,1.83830248075144,1.83830248075144,0,2005.12099390766,2006.95929638841
69,71,Georgia,Georgia,0.299054398361552,0.299054398361552,0,2005.12099390766,2005.42004830602
71,72,Georgia,Georgia,1.57306576445533,1.87212016281688,0.299054398361552,2005.42004830602,2006.99311407048
70,25,Georgia,Georgia,0.123505743815118,1.96180822456656,1.83830248075144,2006.95929638841,2007.08280213223
72,86,Georgia,Poland,4.16865886423929,6.04077902705617,1.87212016281688,2006.99311407048,2011.16177293472
71,135,Georgia,Poland,6.91610838450745,7.215162782869,0.299054398361552,2005.42004830602,2012.33615669053
135,62,Poland,Lithuania,1.71863783001583,8.93380061288483,7.215162782869,2012.33615669053,2014.05479452055
86,128,Poland,Poland,2.98984389059274,9.0306229176489,6.04077902705617,2011.16177293472,2014.15161682531
72,73,Georgia,Ukraine,7.49294038689893,9.3650605497158,1.87212016281688,2006.99311407048,2014.48605445738
128,129,Poland,Poland,0.389516129543582,9.42013904719248,9.0306229176489,2014.15161682531,2014.54113295486
129,130,Poland,Poland,0.329693985591434,9.74983303278392,9.42013904719248,2014.54113295486,2014.87082694045
73,74,Ukraine,Ukraine,0.450630437857703,9.81569098757351,9.3650605497158,2014.48605445738,2014.93668489524
135,23,Poland,Poland,2.74877481631699,9.96393759918599,7.215162782869,2012.33615669053,2015.08493150685
86,87,Poland,Poland,3.97974799051851,10.0205270175747,6.04077902705617,2011.16177293472,2015.14152092524
130,131,Poland,Poland,0.31457646632858,10.0644094991125,9.74983303278392,2014.87082694045,2015.18540340678
74,79,Ukraine,Ukraine,0.428865010407763,10.2445559979813,9.81569098757351,2014.93668489524,2015.36554990564
74,75,Ukraine,Ukraine,0.534174990370386,10.3498659779439,9.81569098757351,2014.93668489524,2015.47085988561
87,88,Poland,Poland,0.481746640342996,10.5022736579177,10.0205270175747,2015.14152092524,2015.62326756558
88,91,Poland,Poland,0.0936993593690758,10.5959730172868,10.5022736579177,2015.62326756558,2015.71696692495
131,132,Poland,Poland,0.6258991344262,10.6903086335387,10.0644094991125,2015.18540340678,2015.8113025412
132,133,Poland,Poland,0.0503582915548018,10.7406669250935,10.6903086335387,2015.8113025412,2015.86166083276
91,92,Poland,Poland,0.193989502710735,10.7899625199975,10.5959730172868,2015.71696692495,2015.91095642766
75,76,Ukraine,Ukraine,0.479568814114212,10.8294347920581,10.3498659779439,2015.47085988561,2015.95042869972
91,105,Poland,Poland,0.657526298654367,11.2534993159411,10.5959730172868,2015.71696692495,2016.3744932236
133,134,Poland,Poland,0.62462269022168,11.3652896153152,10.7406669250935,2015.86166083276,2016.48628352298
79,80,Ukraine,Ukraine,1.15035114515605,11.3949071431373,10.2445559979813,2015.36554990564,2016.5159010508
134,63,Poland,Poland,0.117541613633529,11.4828312289487,11.3652896153152,2016.48628352298,2016.60382513661
134,59,Poland,Poland,0.120273854070883,11.4855634693861,11.3652896153152,2016.48628352298,2016.60655737705
92,97,Poland,Kaliningrad,0.787851871933254,11.5778143919307,10.7899625199975,2015.91095642766,2016.69880829959
133,49,Poland,Poland,0.881508566150463,11.622175491244,10.7406669250935,2015.86166083276,2016.74316939891
79,83,Ukraine,Ukraine,1.40692543588562,11.6514814338669,10.2445559979813,2015.36554990564,2016.77247534153
97,98,Kaliningrad,Kaliningrad,0.126675084958989,11.7044894768897,11.5778143919307,2016.69880829959,2016.82548338455
88,89,Poland,Poland,1.25064042342806,11.7529140813457,10.5022736579177,2015.62326756558,2016.87390798901
76,78,Ukraine,Ukraine,1.01155434061367,11.8409891326718,10.8294347920581,2015.95042869972,2016.96198304034
80,81,Ukraine,Hungary,0.530342323088128,11.9252494662255,11.3949071431373,2016.5159010508,2017.04624337389
98,99,Kaliningrad,Kaliningrad,0.248200361232043,11.9526898381218,11.7044894768897,2016.82548338455,2017.07368374579
131,61,Poland,Poland,1.89404864801878,11.9584581471313,10.0644094991125,2015.18540340678,2017.07945205479
128,37,Poland,Poland,2.96071194181112,11.99133485946,9.0306229176489,2014.15161682531,2017.11232876712
99,100,Kaliningrad,Kaliningrad,0.0417863166757817,11.9944761547976,11.9526898381218,2017.07368374579,2017.11547006246
89,48,Poland,Poland,0.246627879200986,11.9995419605467,11.7529140813457,2016.87390798901,2017.12053586821
100,101,Kaliningrad,Kaliningrad,0.0325218332262995,12.0269979880239,11.9944761547976,2017.11547006246,2017.14799189569
129,36,Poland,Poland,2.60955197665122,12.0296910238437,9.42013904719248,2014.54113295486,2017.15068493151
83,84,Ukraine,Lithuania,0.606076495942298,12.2575579298092,11.6514814338669,2016.77247534153,2017.37855183747
83,38,Ukraine,Moldova,0.749981585455585,12.4014630193225,11.6514814338669,2016.77247534153,2017.52245692699
75,56,Ukraine,Ukraine,2.06612641576266,12.4159923937066,10.3498659779439,2015.47085988561,2017.53698630137
87,45,Poland,Ukraine,2.48039688298132,12.500923900556,10.0205270175747,2015.14152092524,2017.62191780822
73,85,Ukraine,Belgium,3.21094141160353,12.5760019613193,9.3650605497158,2014.48605445738,2017.69699586898
105,8,Poland,Poland,1.43420124490925,12.6877005608504,11.2534993159411,2016.3744932236,2017.80869446851
