node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
100,101,Africa,Africa,4.44319729024951,4.44319729024951,0,1994.88623366012,1999.32943095037
100,194,Africa,Africa,2.49161348376878,2.49161348376878,0,1994.88623366012,1997.37784714389
194,195,Africa,Africa,0.683864470709366,3.17547795447815,2.49161348376878,1997.37784714389,1998.06171161459
194,95,Africa,Africa,0.898961817825558,3.39057530159434,2.49161348376878,1997.37784714389,1998.27680896171
101,102,Africa,Africa,3.36530039760255,7.80849768785206,4.44319729024951,1999.32943095037,2002.69473134797
102,103,Africa,Africa,2.26291044381716,10.0714081316692,7.80849768785206,2002.69473134797,2004.95764179179
103,104,Africa,Africa,0.205308752711836,10.2767168843811,10.0714081316692,2004.95764179179,2005.1629505445
104,93,Africa,Africa,0.0236480352133057,10.3003649195944,10.2767168843811,2005.1629505445,2005.18659857971
103,105,Africa,Georgia,1.91959591935711,11.9910040510263,10.0714081316692,2004.95764179179,2006.87723771114
105,106,Georgia,Georgia,0.132589344007689,12.123593395034,11.9910040510263,2006.87723771114,2007.00982705515
195,96,Africa,Africa,9.48779930618442,12.6632772606626,3.17547795447815,1998.06171161459,2007.54951092078
105,91,Georgia,Georgia,0.859287263895798,12.8502913149221,11.9910040510263,2006.87723771114,2007.73652497504
106,190,Georgia,Georgia,0.939822096996624,13.0634154920306,12.123593395034,2007.00982705515,2007.94964915215
190,191,Georgia,Georgia,2.00759466138334,15.071010153414,13.0634154920306,2007.94964915215,2009.95724381353
101,94,Africa,Africa,11.9432977094215,16.386494999671,4.44319729024951,1999.32943095037,2011.27272865979
106,107,Georgia,Lithuania,4.90210007891341,17.0256934739474,12.123593395034,2007.00982705515,2011.91192713406
107,139,Lithuania,Lithuania,0.00107269251271092,17.0267661664601,17.0256934739474,2011.91192713406,2011.91299982658
107,108,Lithuania,Lithuania,0.114878061066719,17.1405715350141,17.0256934739474,2011.91192713406,2012.02680519513
139,140,Lithuania,Lithuania,1.03485594700725,18.0616221134674,17.0267661664601,2011.91299982658,2012.94785577358
191,192,Georgia,Lithuania,3.39148502362855,18.4624951770425,15.071010153414,2009.95724381353,2013.34872883716
108,113,Lithuania,Lithuania,1.59053209610374,18.7311036311179,17.1405715350141,2012.02680519513,2013.61733729123
192,193,Lithuania,Lithuania,0.277960436577798,18.7404556136203,18.4624951770425,2013.34872883716,2013.62668927374
193,87,Lithuania,Lithuania,0.428105246811377,19.1685608604317,18.7404556136203,2013.62668927374,2014.05479452055
140,141,Lithuania,Lithuania,1.14081673538069,19.2024388488481,18.0616221134674,2012.94785577358,2014.08867250896
141,142,Lithuania,Lithuania,0.194664252321562,19.3971031011696,19.2024388488481,2014.08867250896,2014.28333676129
142,143,Lithuania,Lithuania,0.0311464943198239,19.4282495954895,19.3971031011696,2014.28333676129,2014.31448325561
195,196,Africa,Africa,16.4727698366021,19.6482477910802,3.17547795447815,1998.06171161459,2014.5344814512
113,114,Lithuania,Ukraine,1.16708218126944,19.8981858123873,18.7311036311179,2013.61733729123,2014.7844194725
141,182,Lithuania,Poland,0.795427876030153,19.9978667248782,19.2024388488481,2014.08867250896,2014.88410038499
142,156,Lithuania,Lithuania,0.705024405405615,20.1021275065753,19.3971031011696,2014.28333676129,2014.98836116669
114,135,Ukraine,Ukraine,0.205021863387907,20.1032076757752,19.8981858123873,2014.7844194725,2014.98944133589
192,89,Lithuania,Poland,1.73620266969033,20.1986978467329,18.4624951770425,2013.34872883716,2015.08493150685
135,136,Ukraine,Ukraine,0.166077654118577,20.2692853298938,20.1032076757752,2014.98944133589,2015.15551899001
182,183,Poland,Poland,0.373871517051088,20.3717382419293,19.9978667248782,2014.88410038499,2015.25797190205
143,144,Lithuania,Lithuania,0.965680666287845,20.3939302617773,19.4282495954895,2014.31448325561,2015.28016392189
182,186,Poland,Poland,0.436585443742017,20.4344521686203,19.9978667248782,2014.88410038499,2015.32068582874
136,137,Ukraine,Ukraine,0.307443203248177,20.576728533142,20.2692853298938,2015.15551899001,2015.46296219326
108,109,Lithuania,Hungary,3.53530695365843,20.6758784886726,17.1405715350141,2012.02680519513,2015.56211214879
109,111,Hungary,Hungary,0.0457687076584357,20.721647196331,20.6758784886726,2015.56211214879,2015.60788085645
183,184,Poland,Poland,0.36965906749383,20.7413973094232,20.3717382419293,2015.25797190205,2015.62763096954
186,188,Poland,Poland,0.367069416286379,20.8015215849066,20.4344521686203,2015.32068582874,2015.68775524502
156,180,Lithuania,Lithuania,0.731391861405426,20.8335193679807,20.1021275065753,2014.98836116669,2015.7197530281
184,185,Poland,Poland,0.104163159826824,20.84556046925,20.7413973094232,2015.62763096954,2015.73179412937
144,145,Lithuania,Lithuania,0.492436895250514,20.8863671570278,20.3939302617773,2015.28016392189,2015.77260081714
102,1,Africa,Africa,13.2265475413536,21.0350452292057,7.80849768785206,2002.69473134797,2015.92127888932
145,150,Lithuania,Kaliningrad,0.59211917552836,21.4784863325562,20.8863671570278,2015.77260081714,2016.36471999267
150,151,Kaliningrad,Kaliningrad,0.0010385002919362,21.4795248328481,21.4784863325562,2016.36471999267,2016.36575849296
113,138,Lithuania,Ukraine,2.89597708111069,21.6270807122286,18.7311036311179,2013.61733729123,2016.51331437234
186,187,Poland,Poland,1.19340261427874,21.627854782899,20.4344521686203,2015.32068582874,2016.51408844302
187,21,Poland,Poland,0.0897366935965822,21.7175914764956,21.627854782899,2016.51408844302,2016.60382513661
187,20,Poland,Poland,0.0924689340339357,21.7203237169329,21.627854782899,2016.51408844302,2016.60655737705
188,23,Poland,Poland,1.0554141538842,21.8569357387908,20.8015215849066,2015.68775524502,2016.74316939891
114,115,Ukraine,Serbia,2.13867986863624,22.0368656810236,19.8981858123873,2014.7844194725,2016.92309934114
115,116,Serbia,Serbia,0.0281287006277644,22.0649943816513,22.0368656810236,2016.92309934114,2016.95122804177
185,24,Poland,Poland,1.34765792542817,22.1932183946782,20.84556046925,2015.73179412937,2017.07945205479
184,26,Poland,Poland,1.48469779758374,22.2260951070069,20.7413973094232,2015.62763096954,2017.11232876712
185,19,Poland,Poland,1.4188908021406,22.2644512713906,20.84556046925,2015.73179412937,2017.15068493151
151,152,Kaliningrad,Kaliningrad,1.08612370445003,22.5656485372982,21.4795248328481,2016.36575849296,2017.45188219741
137,66,Ukraine,Moldova,2.0207530888168,22.5974816219588,20.576728533142,2015.46296219326,2017.48371528208
139,189,Lithuania,Lithuania,5.57541798767285,22.602184154133,17.0267661664601,2011.91299982658,2017.48841781425
136,62,Ukraine,Ukraine,2.38146731135962,22.6507526412534,20.2692853298938,2015.15551899001,2017.53698630137
116,117,Serbia,Serbia,0.613280878144915,22.6782752597962,22.0649943816513,2016.95122804177,2017.56450891991
140,16,Lithuania,Ukraine,4.67406203463548,22.7356841481029,18.0616221134674,2012.94785577358,2017.62191780822
156,157,Lithuania,Poland,2.65476266010403,22.7568901666793,20.1021275065753,2014.98836116669,2017.6431238268
180,51,Lithuania,Poland,1.92385608249668,22.7573754504774,20.8335193679807,2015.7197530281,2017.64360911059
111,112,Hungary,Armur,2.05239289507228,22.7740400914033,20.721647196331,2015.60788085645,2017.66027375152
157,27,Poland,Poland,0.0216377913676338,22.7785279580469,22.7568901666793,2017.6431238268,2017.66476161816
138,64,Ukraine,Ukraine,1.31682261395642,22.943903326185,21.6270807122286,2016.51331437234,2017.8301369863
151,4,Kaliningrad,Kaliningrad,1.48355657552859,22.9630814083767,21.4795248328481,2016.36575849296,2017.84931506849
135,63,Ukraine,Czechia,2.87820616480213,22.9814138405774,20.1032076757752,2014.98944133589,2017.86764750069
189,52,Lithuania,Lithuania,0.552678076161705,23.1548622302947,22.602184154133,2017.48841781425,2018.04109589041
115,127,Serbia,Serbia,1.21697202501205,23.2538377060356,22.0368656810236,2016.92309934114,2018.14007136615
138,65,Ukraine,Ukraine,1.65928836738109,23.2863690796097,21.6270807122286,2016.51331437234,2018.17260273973
152,154,Kaliningrad,Kaliningrad,0.793559057232397,23.3592075945306,22.5656485372982,2017.45188219741,2018.24544125465
154,155,Kaliningrad,Kaliningrad,0.0606802203406227,23.4198878148712,23.3592075945306,2018.24544125465,2018.30612147499
111,69,Hungary,Hungary,2.70170818464857,23.4233553809796,20.721647196331,2015.60788085645,2018.3095890411
109,110,Hungary,China,2.89069640874715,23.5665748974197,20.6758784886726,2015.56211214879,2018.45280855754
155,5,Kaliningrad,Kaliningrad,0.173330579807067,23.5932183946782,23.4198878148712,2018.30612147499,2018.47945205479
110,67,China,China,0.0430818534228825,23.6096567508426,23.5665748974197,2018.45280855754,2018.49589041096
143,3,Lithuania,Kaliningrad,4.18688660740786,23.6151362028973,19.4282495954895,2014.31448325561,2018.50136986301
144,8,Lithuania,Kaliningrad,3.23216484522967,23.626095107007,20.3939302617773,2015.28016392189,2018.51232876712
145,146,Lithuania,Lithuania,2.73996882337398,23.6263359804018,20.8863671570278,2015.77260081714,2018.51256964052
154,7,Kaliningrad,Kaliningrad,0.269627238503791,23.6288348330343,23.3592075945306,2018.24544125465,2018.51506849315
152,153,Kaliningrad,Kaliningrad,1.07479949611238,23.6404480334105,22.5656485372982,2017.45188219741,2018.52668169353
180,181,Lithuania,Lithuania,2.83320246399084,23.6667218319715,20.8335193679807,2015.7197530281,2018.55295549209
155,6,Kaliningrad,Kaliningrad,0.26922099076594,23.6891088056371,23.4198878148712,2018.30612147499,2018.57534246575
150,2,Kaliningrad,Kaliningrad,2.23254028130001,23.7110266138562,21.4784863325562,2016.36471999267,2018.59726027397
153,9,Kaliningrad,Kaliningrad,0.070578580445666,23.7110266138562,23.6404480334105,2018.52668169353,2018.59726027397
137,72,Ukraine,Ukraine,3.18087342317997,23.757601956322,20.576728533142,2015.46296219326,2018.64383561644
188,22,Poland,Poland,2.97546724710143,23.7769888320081,20.8015215849066,2015.68775524502,2018.66322249212
116,85,Serbia,Belgium,1.71452538288994,23.7795197645413,22.0649943816513,2016.95122804177,2018.66575342466
110,68,China,China,0.223903771230971,23.7904786686507,23.5665748974197,2018.45280855754,2018.67671232877
117,73,Serbia,Belgium,1.12590203899147,23.8041772987877,22.6782752597962,2017.56450891991,2018.6904109589
196,197,Africa,Africa,4.19801442508398,23.8462622161642,19.6482477910802,2014.5344814512,2018.73249587628
193,88,Lithuania,Lithuania,5.38974908242769,24.130204696048,18.7404556136203,2013.62668927374,2019.01643835616
146,11,Lithuania,Lithuania,0.509348167700929,24.1356841481027,23.6263359804018,2018.51256964052,2019.02191780822
181,17,Lithuania,Lithuania,0.521017110651904,24.1877389426234,23.6667218319715,2018.55295549209,2019.07397260274
104,92,Africa,Africa,13.9566660988411,24.2333829832222,10.2767168843811,2005.1629505445,2019.11961664334
