node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
100,101,Africa,Africa,2.83916960766696,2.83916960766696,0,1995.40590306863,1998.2450726763
101,102,Africa,Africa,0.0473004231273677,2.88647003079432,2.83916960766696,1998.2450726763,1998.29237309942
102,95,Africa,Africa,0.095376603929175,2.9818466347235,2.88647003079432,1998.29237309942,1998.38774970335
100,105,Africa,Africa,5.43203956010978,5.43203956010978,0,1995.40590306863,2000.83794262874
105,106,Africa,Africa,1.681243622658,7.11328318276778,5.43203956010978,2000.83794262874,2002.5191862514
106,107,Africa,Africa,2.35253145515514,9.46581463792293,7.11328318276778,2002.5191862514,2004.87171770655
107,108,Africa,Africa,0.0660087896982198,9.53182342762114,9.46581463792293,2004.87171770655,2004.93772649625
108,109,Africa,Georgia,0.646631513027025,10.1784549406482,9.53182342762114,2004.93772649625,2005.58435800928
108,93,Africa,Africa,0.684022772430225,10.2158462000514,9.53182342762114,2004.93772649625,2005.62174926868
109,110,Georgia,Georgia,0.109020358888674,10.2874752995368,10.1784549406482,2005.58435800928,2005.69337836817
110,111,Georgia,Georgia,0.893838189718341,11.1813134892552,10.2874752995368,2005.69337836817,2006.58721655788
102,96,Africa,Africa,8.91294232546267,11.799412356257,2.88647003079432,1998.29237309942,2007.20531542489
110,91,Georgia,Georgia,1.98439141797004,12.2718667175069,10.2874752995368,2005.69337836817,2007.67776978614
111,112,Georgia,Poland,2.38679280362768,13.5681062928829,11.1813134892552,2006.58721655788,2008.97400936151
112,113,Poland,Poland,2.52185293984626,16.0899592327291,13.5681062928829,2008.97400936151,2011.49586230136
109,115,Georgia,Poland,6.08478657434336,16.2632415149915,10.1784549406482,2005.58435800928,2011.66914458362
105,94,Africa,Africa,10.8705676730163,16.302607233126,5.43203956010978,2000.83794262874,2011.70851030175
115,116,Poland,Ukraine,0.681898753128879,16.9451402681204,16.2632415149915,2011.66914458362,2012.35104333675
116,121,Ukraine,Ukraine,0.296931773876461,17.2420720419969,16.9451402681204,2012.35104333675,2012.64797511063
121,122,Ukraine,Ukraine,1.05344915664753,18.2955211986444,17.2420720419969,2012.64797511063,2013.70142426727
113,114,Poland,Lithuania,2.52197581131999,18.6119350440491,16.0899592327291,2011.49586230136,2014.01783811268
114,87,Lithuania,Lithuania,0.0369564078704965,18.6488914519196,18.6119350440491,2014.01783811268,2014.05479452055
115,149,Poland,Poland,2.5017383543138,18.7649798693053,16.2632415149915,2011.66914458362,2014.17088293793
149,150,Poland,Poland,0.189679780942662,18.954659650248,18.7649798693053,2014.17088293793,2014.36056271888
116,117,Ukraine,Ukraine,2.34734625919454,19.2924865273149,16.9451402681204,2012.35104333675,2014.69838959594
150,151,Poland,Poland,0.376228115817113,19.3308877660651,18.954659650248,2014.36056271888,2014.73679083469
121,133,Ukraine,Ukraine,2.19038094253021,19.4324529845271,17.2420720419969,2012.64797511063,2014.83835605316
101,103,Africa,Africa,16.6079658917884,19.4471354994554,2.83916960766696,1998.2450726763,2014.85303856808
122,123,Ukraine,Ukraine,1.1592456943613,19.4547668930057,18.2955211986444,2013.70142426727,2014.86066996163
149,157,Poland,Poland,0.819975421375384,19.5849552906807,18.7649798693053,2014.17088293793,2014.99085835931
123,124,Ukraine,Ukraine,0.147248722590543,19.6020156155962,19.4547668930057,2014.86066996163,2015.00791868422
133,134,Ukraine,Ukraine,0.210777757517715,19.6432307420448,19.4324529845271,2014.83835605316,2015.04913381067
113,89,Poland,Poland,3.58906920549165,19.6790284382208,16.0899592327291,2011.49586230136,2015.08493150685
106,1,Africa,Africa,12.5740180566448,19.6873012394126,7.11328318276778,2002.5191862514,2015.09320430804
151,155,Poland,Poland,0.396604455655029,19.7274922217201,19.3308877660651,2014.73679083469,2015.13339529035
157,158,Poland,Poland,0.164193339459888,19.7491486301406,19.5849552906807,2014.99085835931,2015.15505169877
151,152,Poland,Poland,0.467768661987473,19.7986564280526,19.3308877660651,2014.73679083469,2015.20455949668
155,156,Poland,Poland,0.17139530040999,19.8988875221301,19.7274922217201,2015.13339529035,2015.30479059076
157,185,Poland,Kaliningrad,0.553251550209403,20.1382068408901,19.5849552906807,2014.99085835931,2015.54410990952
152,153,Poland,Poland,0.361018865155075,20.1596752932077,19.7986564280526,2015.20455949668,2015.56557836184
153,154,Poland,Poland,0.196151004836009,20.3558262980437,20.1596752932077,2015.56557836184,2015.76172936667
185,186,Kaliningrad,Kaliningrad,0.334717856892881,20.472924697783,20.1382068408901,2015.54410990952,2015.87882776641
133,138,Ukraine,Ukraine,1.06816410099265,20.5006170855197,19.4324529845271,2014.83835605316,2015.90652015415
186,187,Kaliningrad,Kaliningrad,0.0432204109560397,20.516145108739,20.472924697783,2015.87882776641,2015.92204817737
186,190,Kaliningrad,Kaliningrad,0.114209789332135,20.5871344871151,20.472924697783,2015.87882776641,2015.99303755574
138,139,Ukraine,Ukraine,0.14462324223522,20.6452403277549,20.5006170855197,2015.90652015415,2016.05114339638
158,183,Poland,Ukraine,1.11387258608538,20.863021216226,19.7491486301406,2015.15505169877,2016.26892428485
117,120,Ukraine,Ukraine,1.68121668017609,20.973703207491,19.2924865273149,2014.69838959594,2016.37960627612
158,159,Poland,Poland,1.24635534076796,20.9955039709086,19.7491486301406,2015.15505169877,2016.40140703954
190,193,Kaliningrad,Kaliningrad,0.434642296396561,21.0217767835117,20.5871344871151,2015.99303755574,2016.42767985214
117,118,Ukraine,Ukraine,1.89288128178088,21.1853678090958,19.2924865273149,2014.69838959594,2016.59127087772
154,21,Poland,Poland,0.842095769939822,21.1979220679835,20.3558262980437,2015.76172936667,2016.60382513661
154,20,Poland,Poland,0.844828010377175,21.2006543084208,20.3558262980437,2015.76172936667,2016.60655737705
152,23,Poland,Poland,1.53860990222616,21.3372663302787,19.7986564280526,2015.20455949668,2016.74316939891
155,24,Poland,Poland,1.94605676444592,21.6735489861661,19.7274922217201,2015.13339529035,2017.07945205479
150,26,Poland,Poland,2.75176604824681,21.7064256984948,18.954659650248,2014.36056271888,2017.11232876712
159,51,Poland,Poland,0.736965863515256,21.7324698344238,20.9955039709086,2016.40140703954,2017.13837290305
156,19,Poland,Poland,1.84589434074836,21.7447818628785,19.8988875221301,2015.30479059076,2017.15068493151
122,66,Ukraine,Moldova,3.45318625604569,21.7487074546901,18.2955211986444,2013.70142426727,2017.15461052332
123,132,Ukraine,Ukraine,2.38213195511532,21.836898848121,19.4547668930057,2014.86066996163,2017.24280191675
124,63,Ukraine,Czechia,2.24626974434664,21.8482853599429,19.6020156155962,2015.00791868422,2017.25418842857
124,125,Ukraine,Italy,2.27355503094768,21.8755706465439,19.6020156155962,2015.00791868422,2017.28147371517
187,188,Kaliningrad,Kaliningrad,1.41527105647138,21.9314161652104,20.516145108739,2015.92204817737,2017.33731923384
190,191,Kaliningrad,Kaliningrad,1.48083948390572,22.0679739710209,20.5871344871151,2015.99303755574,2017.47387703965
139,62,Ukraine,Ukraine,1.48584290498639,22.1310832327413,20.6452403277549,2016.05114339638,2017.53698630137
183,16,Ukraine,Ukraine,1.35299352336479,22.2160147395908,20.863021216226,2016.26892428485,2017.62191780822
134,137,Ukraine,Lithuania,2.64929999876784,22.2925307408126,19.6432307420448,2015.04913381067,2017.69843380944
132,64,Ukraine,Ukraine,0.587335069551875,22.4242339176729,21.836898848121,2017.24280191675,2017.8301369863
185,194,Kaliningrad,Lithuania,2.30412951671197,22.4423363576021,20.1382068408901,2015.54410990952,2017.84823942623
187,4,Kaliningrad,Kaliningrad,1.92726689112558,22.4434119998646,20.516145108739,2015.92204817737,2017.84931506849
134,135,Ukraine,Belgium,2.83055950424334,22.4737902462881,19.6432307420448,2015.04913381067,2017.87969331492
159,160,Poland,Poland,1.50002059855362,22.4955245694622,20.9955039709086,2016.40140703954,2017.90142763809
160,27,Poland,Poland,0.0515269347190648,22.5470515041812,22.4955245694622,2017.90142763809,2017.95295457281
137,52,Lithuania,Lithuania,0.342662080969972,22.6351928217826,22.2925307408126,2017.69843380944,2018.04109589041
191,192,Kaliningrad,Kaliningrad,0.678961246693477,22.7469352177143,22.0679739710209,2017.47387703965,2018.15283828634
132,65,Ukraine,Ukraine,0.929800822976551,22.7666996710976,21.836898848121,2017.24280191675,2018.17260273973
135,136,Belgium,Belgium,0.320333334736833,22.794123581025,22.4737902462881,2017.87969331492,2018.20002664965
125,126,Italy,Italy,0.949115338686736,22.8246859852307,21.8755706465439,2017.28147371517,2018.23058905386
118,69,Ukraine,Hungary,1.71831816337167,22.9036859724675,21.1853678090958,2016.59127087772,2018.3095890411
118,119,Ukraine,China,1.79119195611178,22.9765597652076,21.1853678090958,2016.59127087772,2018.38246283384
183,184,Ukraine,Lithuania,2.14634177579789,23.0093629920239,20.863021216226,2016.26892428485,2018.41526606065
192,5,Kaliningrad,Kaliningrad,0.326613768451816,23.0735489861661,22.7469352177143,2018.15283828634,2018.47945205479
119,67,China,China,0.113427577122913,23.0899873423305,22.9765597652076,2018.38246283384,2018.49589041096
