Africa,Belgium,China,Czechia,Georgia,Germany,Hungary,Italy,Lithuania,Moldova,Poland,Armur,Kaliningrad,Karbardino-Balkaria,Primorsky,Ulyanovsk,Serbia,Ukraine
Africa,NA,0.2,0.2,0.4,116.2,0.4,0.2,0.2,0.6,0.2,1.1,0.3,0.2,0,0.3,0.9,0.3,0.3
Belgium,1.6,NA,1.6,2.5,1.1,1,1.8,1.9,0.9,2.3,1,1.4,0.9,0,1.4,1.2,4.6,0.9
China,1.7,1.4,NA,1.4,0.9,1,9.5,0.8,1.2,1.4,0.9,5.8,1.1,0,5.5,1,1,1.1
Czechia,2,2.7,1.7,NA,1.2,0.9,2.2,1.4,1.5,2.5,1.2,1.4,1.1,0,1.6,1.4,2.2,1.1
Georgia,1.3,0.8,0.9,0.9,NA,0.9,1,0.9,5.2,0.8,21.5,0.9,1.2,0,0.7,10.8,0.7,1.5
Germany,2.9,1.3,1.2,1.1,1.4,NA,1.4,1.1,1.3,1.4,1.2,1.2,1.5,0,1.3,2.2,1.1,1.6
Hungary,2.1,1.2,9.3,1.3,0.9,1.2,NA,1.2,0.9,1.2,0.9,6,1.4,0,5.6,1.2,1.2,1.3
Italy,2,1.6,1.4,1.5,1.1,0.8,1.2,NA,1.1,1.5,0.9,1.4,1.1,0,1.1,1.1,13.9,1.1
Lithuania,1.2,1,1.3,1.8,0.8,1.8,1.6,0.8,NA,2,7.8,1.2,19.4,0,1.1,3.1,1.2,7.4
Moldova,2.4,3,2.1,2.8,1.2,1.2,2,1.5,1.3,NA,0.9,1.6,1.1,0,1.7,1.2,2.2,1.3
Poland,0.6,1,1.4,1.5,1.3,80.1,1.4,0.5,35.4,1.7,NA,0.7,11,0,0.9,3,1,26.9
Armur,2,1.3,2.6,1.2,0.8,1.3,2.6,0.9,1.3,1.1,1,NA,1.1,0,7.8,1.1,1.1,1.1
Kaliningrad,2.1,0.9,1,1.1,1,1.7,1,1.3,7.2,1.2,1.8,1.2,NA,0,1.2,2,0.9,1.7
Karbardino-Balkaria,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
Primorsky,2,1.7,3.4,1.2,1.3,1.1,3.2,1.2,1.5,1.2,1,8.2,1,0,NA,1.5,1,1.4
Ulyanovsk,1.8,1.3,1.4,1.1,1.7,1.4,1.2,1.6,1.7,1.2,1.9,1.3,1.4,0,1.3,NA,1,1.2
Serbia,1.3,4.5,1.1,2.3,0.8,0.8,1.1,138.9,0.9,2,0.6,1,0.7,0,0.9,0.9,NA,0.9
Ukraine,1.1,17.4,5.4,20.9,0.8,1.1,5,2.8,2.1,20.7,1.5,3,1.1,0,2.7,1.6,17.9,NA
