time	distance_tree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2001.42124878656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001.62703629869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.7727989508183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001.83282381083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5457590055866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002.03861132296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.3188796278208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002.2443988351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50386926808059	79.0921602821002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002.45018634723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03949186632161	98.8656004327794	0	0	0	0	0	0	0	0	0	0	0	105.120172064813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002.65597385937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57498276391494	118.639199544276	0	0	0	0	0	0	0	0	0	0	4.08654796575056	313.017686377978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002.8617613715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.11034192901316	138.412957080835	0	0	0	0	0	0	0	0	0	0	13.8680216824866	518.481747769791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003.06754888364	0	0	0	119.784499207167	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6455693250293	158.186872506775	0	0	0	0	0	0	0	0	0	0	23.6498759217471	721.41872917339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003.27333639577	0	0	0	320.73205163611	0	0	0	0	0	0	0	0	0	0	0	0	0	9.18066491605799	177.960945286296	0	0	0	0	0	0	0	0	0	0	33.432110061842	921.732751943999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003.4791239079	0	0	0	519.213014504559	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7156286625782	197.73517488368	0	0	0	0	0	0	0	0	0	0	43.2147234811175	1119.32567723181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003.68491142004	0	0	0	715.137359504568	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2504605303414	217.509560763049	0	0	0	0	0	0	0	0	0	0	52.9977155577886	1314.09710816216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003.89069893217	0	0	0	908.412879021138	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7851604818543	249.344569642245	0	0	0	0	0	0	0	0	0	0	62.7810856701314	1505.94440400728	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004.09648644431	0	0	0	1098.94518928557	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3197284812363	307.75333660503	0	0	0	0	0	0	0	0	0	0	72.5648331966948	1694.76270758784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004.30227395644	0	0	5.71895246525004	1286.63774355708	0	0	0	0	0	0	0	0	0	0	0	0	0	16.854164490528	365.990391503614	0	0	0	0	0	0	0	0	0	0	82.3489575160235	1880.44498721849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004.50806146858	0	0	454.888076601249	1471.39185639027	0	0	0	0	0	0	0	59.661695660129	0	0	0	0	0	18.3884684749704	424.053856913197	0	0	0	0	0	0	0	0	0	0	92.1334580064495	1947.95676510483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004.71384898071	0	0	1131.99364296228	1653.10674010669	0	0	0	0	0	0	0	322.037657754638	0	0	0	0	0	19.9226403954163	481.941842725991	20.2663990881863	0	0	0	0	0	0	0	0	0	101.918334046573	1949.5458457744	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004.91963649284	0	0	1774.8120666116	1831.67955461589	0	0	0	0	0	0	0	580.434677420866	0	0	0	0	0	21.4566802172595	539.652446091129	44.5723695108611	0	0	0	0	0	0	0	0	0	111.703585014916	1951.13499311644	0	0	0.682808751600312	0	0	0	0	0	0	0	0	0	0	0
2005.12542400498	0	0	1843.74472533048	1928.12733531999	0	0	0	0	0	0	0	834.659594759328	0	0	0	0	0	22.9905879024285	597.183751358292	68.8970870178179	0	0	0	0	0	0	0	0	0	121.489210290073	1952.72420711548	0	0	1.87828103408494	0	0	0	0	0	0	0	0	0	0	0
2005.33121151711	0	0	1845.04800367338	1931.44894306749	0	0	0	0	0	0	0	1084.51326080413	0	0	0	0	0	24.5243634147005	654.53383002458	93.2404695465102	0	0	0	789.860093115536	0	0	0	0	0	131.275209250682	1954.31348775578	0	0	3.07380740087009	0	0	0	0	0	0	0	0	0	0	0
2005.53699902925	0	0	1846.3511929917	1934.77131885555	0	0	0	0	0	0	0	1329.79053037667	0	0	0.497915291721061	0	0	26.05800671759	711.700740685109	247.617552695784	0	0	0	1787.97067428553	0	0	0	0	0	141.061581275374	1955.90283502458	0	0	4.26938784279705	0	0	0	0	0	0	0	0	0	0	271.342865381248
2005.74278654138	0	0	1847.65429326009	1938.09446225122	0	0	0	0	0	0	0	1570.28030264806	0	0	2.81820741442484	0	0	27.5915177742527	768.682528987773	631.324557165733	0	0	0	1792.09946035436	0	0	0	0	0	150.848325742823	1957.49224890819	0	0	5.46502234647575	0	0	0	0	0	0	0	0	0	0	646.387024006687
2005.94857405352	0	0	1848.95730446147	1941.41837281431	0	0	0	0	0	0	0	1805.76561590317	1.10054058902923	0	5.13880311670443	0	0	29.1248965480393	825.477227590825	1006.7501322165	0	0	0	1796.22686307922	0	0	0	0	0	160.635442031773	1959.08172939146	0	0	6.66071090622435	0	0	0	0	0	0	0	0	0	0	1012.01075271608
