node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
100,101,Africa,Africa,2.29182950232997,2.29182950232997,0,1996.40567999265,1998.69750949498
100,194,Africa,Africa,1.27841103981422,1.27841103981422,0,1996.40567999265,1997.68409103246
194,195,Africa,Africa,0.121194207309888,1.39960524712411,1.27841103981422,1997.68409103246,1997.80528523977
194,95,Africa,Africa,0.955273213781865,2.23368425359608,1.27841103981422,1997.68409103246,1998.63936424624
101,102,Africa,Africa,4.17925771218466,6.47108721451464,2.29182950232997,1998.69750949498,2002.87676720716
102,103,Africa,Africa,1.86481607856339,8.33590329307803,6.47108721451464,2002.87676720716,2004.74158328572
103,104,Africa,Africa,0.0203804144685087,8.35628370754654,8.33590329307803,2004.74158328572,2004.76196370019
103,93,Africa,Africa,0.821750170491867,9.1576534635699,8.33590329307803,2004.74158328572,2005.56333345622
104,105,Africa,Karbardino-Balkaria,1.27830756089975,9.63459126844629,8.35628370754654,2004.76196370019,2006.04027126109
105,106,Karbardino-Balkaria,Karbardino-Balkaria,0.749381899656543,10.3839731681028,9.63459126844629,2006.04027126109,2006.78965316075
106,107,Karbardino-Balkaria,Karbardino-Balkaria,0.529491570073086,10.9134647381759,10.3839731681028,2006.78965316075,2007.31914473082
195,96,Africa,Africa,9.5699845555657,10.9695898026898,1.39960524712411,1997.80528523977,2007.37526979534
106,91,Karbardino-Balkaria,Georgia,0.627108556199504,11.0110817243023,10.3839731681028,2006.78965316075,2007.41676171695
107,108,Karbardino-Balkaria,Karbardino-Balkaria,2.47346366856097,13.3869284067369,10.9134647381759,2007.31914473082,2009.79260839938
101,94,Africa,Africa,13.0435143204727,15.3353438228026,2.29182950232997,1998.69750949498,2011.74102381545
108,109,Karbardino-Balkaria,Poland,2.88625601586873,16.2731844226056,13.3869284067369,2009.79260839938,2012.67886441525
105,111,Karbardino-Balkaria,Poland,6.80787008429482,16.4424613527411,9.63459126844629,2006.04027126109,2012.84814134539
109,110,Poland,Poland,0.263000443159779,16.5361848657654,16.2731844226056,2012.67886441525,2012.94186485841
111,112,Poland,Poland,0.76935962874968,17.2118209814908,16.4424613527411,2012.84814134539,2013.61750097414
110,87,Poland,Lithuania,1.11292966213633,17.6491145279017,16.5361848657654,2012.94186485841,2014.05479452055
111,145,Poland,Poland,1.5383408523899,17.980802205131,16.4424613527411,2012.84814134539,2014.38648219778
145,173,Poland,Poland,0.179862900106608,18.1606651052376,17.980802205131,2014.38648219778,2014.56634509788
112,114,Poland,Poland,0.994189952983335,18.2060109344741,17.2118209814908,2013.61750097414,2014.61169092712
109,89,Poland,Poland,2.40606709159727,18.6792515142029,16.2731844226056,2012.67886441525,2015.08493150685
145,146,Poland,Poland,0.727135147803655,18.7079373529347,17.980802205131,2014.38648219778,2015.11361734558
114,115,Poland,Moldova,0.662511680875087,18.8685226153492,18.2060109344741,2014.61169092712,2015.274202608
115,116,Moldova,Moldova,0.0664092757707309,18.9349318911199,18.8685226153492,2015.274202608,2015.34061188377
173,181,Poland,Kaliningrad,0.822162697137152,18.9828278023748,18.1606651052376,2014.56634509788,2015.38850779502
114,142,Poland,Ukraine,0.779180777464582,18.9851917119387,18.2060109344741,2014.61169092712,2015.39087170458
142,143,Ukraine,Ukraine,0.0493973745743057,19.034589086513,18.9851917119387,2015.39087170458,2015.44026907916
115,117,Moldova,Moldova,0.287220703028863,19.1557433183781,18.8685226153492,2015.274202608,2015.56142331102
146,147,Poland,Poland,0.452606194645447,19.1605435475801,18.7079373529347,2015.11361734558,2015.56622354023
173,174,Poland,Poland,1.06680166107502,19.2274667663126,18.1606651052376,2014.56634509788,2015.63314675896
102,1,Africa,Africa,12.8039716266571,19.2750588411718,6.47108721451464,2002.87676720716,2015.68073883382
181,182,Kaliningrad,Kaliningrad,0.391397056669154,19.3742248590439,18.9828278023748,2015.38850779502,2015.77990485169
147,148,Poland,Poland,0.229418718194374,19.3899622657745,19.1605435475801,2015.56622354023,2015.79564225842
174,175,Poland,Poland,0.232680788183003,19.4601475544956,19.2274667663126,2015.63314675896,2015.86582754714
174,179,Poland,Poland,0.235701074158951,19.4631678404716,19.2274667663126,2015.63314675896,2015.86884783312
148,149,Poland,Poland,0.0980455330709127,19.4880077988454,19.3899622657745,2015.79564225842,2015.89368779149
117,136,Moldova,Armur,0.347882543663672,19.5036258620418,19.1557433183781,2015.56142331102,2015.90930585469
182,183,Kaliningrad,Kaliningrad,0.199047891759035,19.573272750803,19.3742248590439,2015.77990485169,2015.97895274345
175,176,Poland,Poland,0.176042058684126,19.6361896131798,19.4601475544956,2015.86582754714,2016.04186960583
195,196,Africa,Africa,18.4368477098672,19.8364529569913,1.39960524712411,1997.80528523977,2016.24213294964
179,180,Poland,Poland,0.384973426024175,19.8481412664958,19.4631678404716,2015.86884783312,2016.25382125914
112,113,Poland,Lithuania,2.67488844324273,19.8867094247335,17.2118209814908,2013.61750097414,2016.29238941738
176,177,Poland,Poland,0.267385812866295,19.9035754260461,19.6361896131798,2016.04186960583,2016.30925541869
183,184,Kaliningrad,Kaliningrad,0.330325379371578,19.9035981301745,19.573272750803,2015.97895274345,2016.30927812282
176,178,Poland,Poland,0.282001112418988,19.9181907255988,19.6361896131798,2016.04186960583,2016.32387071824
117,118,Moldova,Serbia,0.855049289201594,20.0107926075797,19.1557433183781,2015.56142331102,2016.41647260023
182,192,Kaliningrad,Kaliningrad,0.721831441292236,20.0960563003362,19.3742248590439,2015.77990485169,2016.50173629298
136,137,Armur,Armur,0.594345451285634,20.0979713133274,19.5036258620418,2015.90930585469,2016.50365130597
143,144,Ukraine,Ukraine,1.1145021636753,20.1490912501883,19.034589086513,2015.44026907916,2016.55477124283
177,21,Poland,Poland,0.294569717919549,20.1981451439656,19.9035754260461,2016.30925541869,2016.60382513661
177,20,Poland,Poland,0.297301958356902,20.200877384403,19.9035754260461,2016.30925541869,2016.60655737705
178,23,Poland,Poland,0.419298680662109,20.3374894062609,19.9181907255988,2016.32387071824,2016.74316939891
118,119,Serbia,Serbia,0.368897317170406,20.3796899247501,20.0107926075797,2016.41647260023,2016.7853699174
137,140,Armur,Armur,0.433968625713726,20.5319399390411,20.0979713133274,2016.50365130597,2016.93761993169
184,186,Kaliningrad,Lithuania,0.642258258359886,20.5458563885344,19.9035981301745,2016.30927812282,2016.95153638118
192,193,Kaliningrad,Kaliningrad,0.482860408350917,20.5789167086871,20.0960563003362,2016.50173629298,2016.98459670133
175,24,Poland,Poland,1.21362450765254,20.6737720621482,19.4601475544956,2015.86582754714,2017.07945205479
180,26,Poland,Poland,0.858507507981161,20.7066487744769,19.8481412664958,2016.25382125914,2017.11232876712
180,19,Poland,Poland,0.896863672364846,20.7450049388606,19.8481412664958,2016.25382125914,2017.15068493151
116,63,Moldova,Czechia,1.92400684086661,20.8589387319866,18.9349318911199,2015.34061188377,2017.26461872463
137,138,Armur,China,0.820541922510919,20.9185132358383,20.0979713133274,2016.50365130597,2017.32419322848
149,27,Poland,Poland,1.49423256261613,20.9822403614615,19.4880077988454,2015.89368779149,2017.38792035411
184,185,Kaliningrad,Kaliningrad,1.21327795730925,21.1168760874838,19.9035981301745,2016.30927812282,2017.52255608013
142,62,Ukraine,Ukraine,2.14611459678475,21.1313063087235,18.9851917119387,2015.39087170458,2017.53698630137
116,66,Moldova,Moldova,2.22323744984058,21.1581693409605,18.9349318911199,2015.34061188377,2017.56384933361
148,16,Poland,Ukraine,1.82627554979841,21.2162378155729,19.3899622657745,2015.79564225842,2017.62191780822
146,51,Poland,Poland,2.66131165845668,21.3692490113913,18.7079373529347,2015.11361734558,2017.77492900404
138,139,China,China,0.490486562237739,21.408999798076,20.9185132358383,2017.32419322848,2017.81467979072
144,64,Ukraine,Ukraine,1.2753657434667,21.424456993655,20.1490912501883,2016.55477124283,2017.8301369863
193,4,Kaliningrad,Kaliningrad,0.864718367159667,21.4436350758467,20.5789167086871,2016.98459670133,2017.84931506849
136,141,Armur,Belgium,1.95412589068787,21.4577517527296,19.5036258620418,2015.90930585469,2017.86343174538
183,190,Kaliningrad,Kaliningrad,1.93822550683024,21.5114982576332,19.573272750803,2015.97895274345,2017.91717825028
113,52,Lithuania,Lithuania,1.7487064730312,21.6354158977647,19.8867094247335,2016.29238941738,2018.04109589041
178,22,Poland,Poland,1.8373232125295,21.7555139381283,19.9181907255988,2016.32387071824,2018.16119393077
144,65,Ukraine,Ukraine,1.61783149689138,21.7669227470797,20.1490912501883,2016.55477124283,2018.17260273973
186,187,Lithuania,Lithuania,1.26280044482956,21.808656833364,20.5458563885344,2016.95153638118,2018.21433682601
138,69,China,Hungary,0.985395812611307,21.9039090484496,20.9185132358383,2017.32419322848,2018.3095890411
190,191,Kaliningrad,Kaliningrad,0.41448573462584,21.925983992259,21.5114982576332,2017.91717825028,2018.33166398491
191,5,Kaliningrad,Kaliningrad,0.147788069889226,22.0737720621483,21.925983992259,2018.33166398491,2018.47945205479
139,67,China,China,0.681210620236599,22.0902104183126,21.408999798076,2017.81467979072,2018.49589041096
