Africa;gray80
Belgium;#9E0142
China;#C82F4C
Czechia;#E55748
Georgia;#F6814C
Germany;#FDB164
Hungary;#FDD884
Italy;#FEF3AB
Latvia;#F5FBAF
Lithuania;#DCF199
Moldova;#AFDEA3
Poland;#7BCAA4
Russia;#4DA7B0
Serbia;#3C7AB6
Ukraine;#5E4FA2
